Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$424,617,855","$204,417,855",48.1%,"$220,200,000",51.9%
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
3,The Eight Hundred,"$277,000,000",-,-,"$277,000,000",100%
4,Dolittle,"$245,922,024","$77,047,065",31.3%,"$168,874,959",68.7%
5,Harley Quinn: Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
6,Onward,"$135,457,656","$61,555,145",45.4%,"$73,902,511",54.6%
7,The Invisible Man,"$130,597,178","$64,914,050",49.7%,"$65,683,128",50.3%
8,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
9,Tenet,"$53,600,000",-,-,"$53,600,000",100%
10,Fantasy Island,"$47,315,959","$26,441,782",55.9%,"$20,874,177",44.1%
11,Inception 10th Anniversary re-release,"$42,046,706",-,-,"$42,046,706",100%
12,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
13,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
14,Peninsula,"$32,896,410","$741,479",2.3%,"$32,154,931",97.7%
15,Bloodshot,"$30,855,118","$10,021,787",32.5%,"$20,833,331",67.5%
16,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
17,Emma.,"$25,763,591","$10,055,355",39%,"$15,708,236",61%
18,Gretel & Hansel,"$21,791,052","$15,347,654",70.4%,"$6,443,398",29.6%
19,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
20,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
21,The Turning,"$18,594,352","$15,472,775",83.2%,"$3,121,577",16.8%
22,Scoob!,"$18,500,000",-,-,"$18,500,000",100%
23,Unhinged,"$16,841,582","$8,841,582",52.5%,"$8,000,000",47.5%
24,Baaghi 3,"$16,723,987","$721,439",4.3%,"$16,002,548",95.7%
25,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
26,I Still Believe,"$13,681,524","$9,868,521",72.1%,"$3,813,003",27.9%
27,Trolls World Tour,"$12,436,439",-,-,"$12,436,439",100%
28,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
29,The Hunt,"$10,398,821","$5,812,500",55.9%,"$4,586,321",44.1%
30,The Personal History of David Copperfield,"$10,389,623","$475,800",4.6%,"$9,913,823",95.4%
31,Greenland,"$10,300,000",-,-,"$10,300,000",100%
32,My Spy,"$10,200,000",-,-,"$10,200,000",100%
33,The New Mutants,"$9,937,017","$7,037,017",70.8%,"$2,900,000",29.2%
34,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$9,077,487",-,-,"$9,077,487",100%
35,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
36,Malang,"$8,396,045",-,-,"$8,396,045",100%
37,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
38,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
39,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
40,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
41,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
42,Military Wives,"$4,066,280",-,-,"$4,066,280",100%
43,Digimon Adventure: Last Evolution Kizuna,"$3,966,107",-,-,"$3,966,107",100%
44,The Wretched,"$3,587,549","$1,814,193",50.6%,"$1,773,356",49.4%
45,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
46,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
47,Samsam,"$3,159,616",-,-,"$3,159,616",100%
48,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
49,The SpongeBob Movie: Sponge on the Run,"$2,969,145","$2,969,145",100%,-,-
50,The Rental,"$2,113,008","$1,561,048",73.9%,"$551,960",26.1%
51,The King of Staten Island,"$1,996,385",-,-,"$1,996,385",100%
52,Jurassic Park 2020 Re-release,"$1,738,333","$1,386,600",79.8%,"$351,733",20.2%
53,The High Note,"$1,576,176",-,-,"$1,576,176",100%
54,Greed,"$1,459,395","$355,308",24.3%,"$1,104,087",75.7%
55,The Secret: Dare to Dream,"$1,455,514",-,-,"$1,455,514",100%
56,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$1,368,047","$1,015,000",74.2%,"$353,047",25.8%
57,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
58,National Theater Live: Cyrano de Bergerac,"$1,365,203","$198,352",14.5%,"$1,166,851",85.5%
59,The Assistant,"$1,308,864","$1,100,313",84.1%,"$208,551",15.9%
60,Relic,"$1,279,860","$1,045,418",81.7%,"$234,442",18.3%
61,Bill & Ted Face the Music,"$1,125,007","$1,125,007",100%,-,-
62,Words on Bathroom Walls,"$1,071,411","$1,071,411",100%,-,-
63,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
64,The Outpost,"$1,049,275",-,-,"$1,049,275",100%
65,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
66,Becky,"$1,021,610","$1,003,700",98.2%,"$17,910",1.8%
67,Made in Italy,"$970,972","$93,877",9.7%,"$877,095",90.3%
68,The Tax Collector,"$942,666","$942,666",100%,-,-
69,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
70,Mafia Inc,"$889,863","$889,863",100%,-,-
71,Misbehaviour,"$800,371",-,-,"$800,371",100%
72,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
73,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
74,The Perfect Candidate,"$622,299",-,-,"$622,299",100%
75,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
76,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
77,Black Water: Abyss,"$582,630",-,-,"$582,630",100%
78,Beauty and the Beast 2020 Re-release,"$542,921","$467,000",86%,"$75,921",14%
79,Followed,"$538,179","$538,179",100%,-,-
80,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
81,Cut Throat City,"$507,779","$507,436",99.9%,$343,<0.1%
82,Once Were Brothers: Robbie Robertson and the Band,"$490,702","$449,561",91.6%,"$41,141",8.4%
83,The Burnt Orange Heresy,"$472,453","$139,059",29.4%,"$333,394",70.6%
84,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
85,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
86,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
87,Babyteeth,"$437,050","$4,507",1%,"$432,543",99%
88,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
89,Infamous,"$429,148","$429,148",100%,-,-
90,The Climb,"$413,161",-,-,"$413,161",100%
91,Back to the Future 2020 Re-release,"$406,408","$247,000",60.8%,"$159,408",39.2%
92,Black Panther 2020 Re-release,"$367,677","$367,000",99.8%,$677,0.2%
93,Burden,"$327,838","$139,270",42.5%,"$188,568",57.5%
94,Palm Springs,"$298,345","$164,000",55%,"$134,345",45%
95,Gremlins 2020 Re-release,"$295,000","$295,000",100%,-,-
96,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
97,Resistance,"$279,867","$7,464",2.7%,"$272,403",97.3%
98,Hope Gap,"$277,364","$104,732",37.8%,"$172,632",62.2%
99,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
100,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
101,Summerland,"$239,103","$56,106",23.5%,"$182,997",76.5%
102,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
103,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
104,The Trip to Greece,"$233,014","$8,340",3.6%,"$224,674",96.4%
105,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
106,Archive,"$222,047","$139,593",62.9%,"$82,454",37.1%
107,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
108,Cruel Peter,"$163,925",-,-,"$163,925",100%
109,Tulsa,"$159,092","$159,092",100%,-,-
110,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
111,The Booksellers,"$144,893","$25,694",17.7%,"$119,199",82.3%
112,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
113,Incitement,"$140,306","$140,306",100%,-,-
114,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
115,Most Wanted,"$138,000","$138,000",100%,-,-
116,Beneath Us,"$137,260","$137,260",100%,-,-
117,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
118,Fatima,"$128,270",-,-,"$128,270",100%
119,Only,"$125,603",-,-,"$125,603",100%
120,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
121,Come to Daddy,"$116,930","$96,713",82.7%,"$20,217",17.3%
122,Irresistible,"$106,326",-,-,"$106,326",100%
123,Lucky Grandma,"$102,000","$102,000",100%,-,-
124,First Cow,"$101,068","$101,068",100%,-,-
125,The Silencing,"$100,746","$100,746",100%,-,-
126,Never Rarely Sometimes Always,"$93,969","$16,565",17.6%,"$77,404",82.4%
127,First Lady,"$93,298","$93,298",100%,-,-
128,Miss Juneteenth,"$92,349","$92,349",100%,-,-
129,Young Ahmed Domestic,"$83,470","$21,291",25.5%,"$62,179",74.5%
130,Tesla,"$79,603","$76,263",95.8%,"$3,340",4.2%
131,Shirley,"$75,078",-,-,"$75,078",100%
132,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
133,How to Build a Girl,"$70,632","$70,632",100%,-,-
134,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
135,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
136,A Simple Wedding,"$54,415","$54,415",100%,-,-
137,Miss Fisher and the Crypt of Tears (special screenings),"$51,158","$51,032",99.8%,$126,0.2%
138,VHYes,"$47,037","$47,037",100%,-,-
139,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
140,House of Cardin,"$44,589",-,-,"$44,589",100%
141,Spree,"$43,062","$28,771",66.8%,"$14,291",33.2%
142,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
143,Three Christs,"$36,723","$36,723",100%,-,-
144,Tread,"$36,527","$36,527",100%,-,-
145,Waiting for Anya,"$36,404",-,-,"$36,404",100%
146,Max Winslow and the House of Secrets,"$31,250","$31,250",100%,-,-
147,After Parkland,"$30,444","$30,444",100%,-,-
148,Olympic Dreams,"$29,450","$29,450",100%,-,-
149,Buffaloed,"$29,118","$29,118",100%,-,-
150,Abe,"$28,657",-,-,"$28,657",100%
151,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
152,José,"$26,563","$26,563",100%,-,-
153,Unsubscribe,"$25,488","$25,488",100%,-,-
154,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
155,Stage Mother,"$24,736",-,-,"$24,736",100%
156,Heart of Africa,"$24,139","$24,139",100%,-,-
157,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
158,Premature,"$23,071","$23,071",100%,-,-
159,L'Innocente,"$22,549","$22,549",100%,-,-
160,Never Too Late,"$21,915",-,-,"$21,915",100%
161,Lore,"$20,006","$20,006",100%,-,-
162,Sputnik,"$18,192","$18,192",100%,-,-
163,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
164,Made in Hong Kong,"$17,255","$17,255",100%,-,-
165,Advocate,"$16,942","$16,942",100%,-,-
166,Straight Up,"$16,080","$16,080",100%,-,-
167,American Deep State,"$15,269","$15,269",100%,-,-
168,"I Was at Home, But...","$14,078","$14,078",100%,-,-
169,The Grizzlies,"$11,511","$11,511",100%,-,-
170,Powerbomb,"$11,319","$11,319",100%,-,-
171,Lost in America,"$11,301","$11,301",100%,-,-
172,You Go to My Head,"$10,682","$10,682",100%,-,-
173,Foosballers,"$9,966","$9,966",100%,-,-
174,Killer Raccoons! 2! Dark Christmas in the Dark!,"$9,528","$9,528",100%,-,-
175,Just One More Kiss,"$9,130","$9,130",100%,-,-
176,The Bay of Silence,"$8,147","$1,941",23.8%,"$6,206",76.2%
177,Inside the Rain,"$8,140","$8,140",100%,-,-
178,The Wave,"$8,101","$8,101",100%,-,-
179,I AM PATRICK,"$7,880",-,-,"$7,880",100%
180,Valley Girl,"$7,671",-,-,"$7,671",100%
181,Guest Artist,"$7,296","$7,296",100%,-,-
182,What We Found,"$6,976","$6,976",100%,-,-
183,The Other Lamb,"$6,760","$6,024",89.1%,$736,10.9%
184,Human Capital,"$6,596","$6,596",100%,-,-
185,Centigrade,"$6,480","$6,480",100%,-,-
186,Afterward,"$6,477","$6,477",100%,-,-
187,King's Gambit,"$3,816","$3,816",100%,-,-
188,The Roads Not Taken,"$3,518","$3,518",100%,-,-
189,Sex and the Future,"$3,101","$3,101",100%,-,-
190,In the Life of Music,"$2,640","$2,640",100%,-,-
191,Moondance,"$2,371","$2,371",100%,-,-
192,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
193,Goldie,"$2,302","$2,302",100%,-,-
194,Gul Makai,"$2,035",-,-,"$2,035",100%
195,The Fox Hunter,"$1,577","$1,577",100%,-,-
196,Hai Tang Hong,"$1,107","$1,107",100%,-,-
197,The Transcendents,"$1,090","$1,090",100%,-,-
198,Greater 2020 Re-release,$527,$527,100%,-,-
199,Spaceship Earth,$168,-,-,$168,100%
